No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
1,A,"Agilent Technologies, Inc.",Healthcare,Medical Laboratories & Research,USA,20057.38,26.36,63.16,1.40%,832842
2,AA,Alcoa Corporation,Basic Materials,Aluminum,USA,8539.88,54.81,48.12,2.08%,1586335
3,AABA,Altaba Inc.,Financial,Asset Management,USA,59534.4,2.8,75.68,0.42%,6349249
4,AAC,"AAC Holdings, Inc.",Healthcare,Specialized Health Services,USA,238.61,,9.68,2.11%,65149
6,AAL,American Airlines Group Inc.,Services,Major Airlines,USA,17672.62,6.83,39.22,2.98%,2919519
7,AAMC,Altisource Asset Management Corporation,Financial,Asset Management,USA,110.81,,66.75,0.00%,0
8,AAME,Atlantic American Corporation,Financial,Life Insurance,USA,51.7,,2.52,3.02%,4251
9,AAN,"Aaron's, Inc.",Services,Rental & Leasing Services,USA,3101.46,20.55,44.52,0.88%,224022
10,AAOI,"Applied Optoelectronics, Inc.",Technology,Semiconductor - Integrated Circuits,USA,900.15,18.28,45.89,-0.28%,767560
11,AAON,"AAON, Inc.",Industrial Goods,General Building Materials,USA,1806.65,42.43,35.6,0.85%,73346
12,AAP,"Advance Auto Parts, Inc.",Services,Auto Parts Stores,USA,10147.7,26.36,141.03,2.81%,598269
13,AAPL,Apple Inc.,Consumer Goods,Electronic Equipment,USA,944526.14,17.32,190.25,1.21%,13254083
14,AAT,"American Assets Trust, Inc.",Financial,REIT - Retail,USA,1817.33,86.53,38.35,-1.52%,197358
15,AAU,Almaden Minerals Ltd.,Basic Materials,Gold,Canada,71.6,,0.73,0.55%,115503
16,AAV,Advantage Oil & Gas Ltd.,Basic Materials,Oil & Gas Drilling & Exploration,Canada,585.78,12.4,3.15,0.00%,41226
17,AAWW,"Atlas Air Worldwide Holdings, Inc.",Services,"Air Services, Other",USA,1827.69,18.17,72.7,1.75%,107606
19,AAXN,"Axon Enterprise, Inc.",Industrial Goods,Aerospace/Defense Products & Services,USA,3732.68,165.31,66.41,0.69%,420686
20,AB,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,2782.83,11.17,29.35,0.86%,121534
21,ABAC,"Renmin Tianli Group, Inc.",Consumer Goods,Farm Products,China,25.61,16.81,2.36,-12.27%,74613
22,ABAX,"Abaxis, Inc.",Healthcare,Medical Laboratories & Research,USA,1898.48,62.58,83.2,-0.04%,85989
23,ABB,ABB Ltd,Industrial Goods,Diversified Machinery,Switzerland,46251.25,22.4,21.91,1.65%,3719579
24,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - Major,USA,154199.72,15.58,97.16,0.25%,3314632
25,ABC,AmerisourceBergen Corporation,Services,Drugs Wholesale,USA,19052.54,74.24,88.18,0.24%,672081
26,ABCB,Ameris Bancorp,Financial,Regional - Mid-Atlantic Banks,USA,2023.8,21.69,53.75,0.84%,502863
27,ABCD,"Cambium Learning Group, Inc.",Services,Education & Training Services,USA,558.29,9.65,11.86,-1.50%,106605
29,ABEO,Abeona Therapeutics Inc.,Healthcare,Biotechnology,USA,761.61,,15.8,-0.94%,437106
30,ABEV,Ambev S.A.,Consumer Goods,Beverages - Brewers,Brazil,73038.48,36.61,4.68,0.54%,11232644
31,ABG,"Asbury Automotive Group, Inc.",Services,Auto Dealerships,USA,1437.88,9.62,72.15,2.41%,97323
